trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.577503,0.0598713
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.508085,0.0543719
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.483019,0.0508341
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.461915,0.0477977
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.430362,0.0448073
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,2.33685,0.337976
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.9821,0.275767
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,1.7776,0.236843
MBD_NandS_geq_2,2,4,0.7,10_20,2,1.567,0.202955
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,1.43656,0.179849
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,2.20377,0.469803
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,2.20377,0.469803
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,1.80118,0.354174
MBD_NandS_geq_2,2,4,0.7,20_30,2,1.80118,0.354174
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,1.47303,0.279478
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,2.70484,0.786545
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,2.70484,0.786545
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,2.50573,0.695068
MBD_NandS_geq_2,2,4,0.7,30_40,2,2.12316,0.567506
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.9657,0.512883
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,9.33092,5.14577
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,9.33092,5.14577
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,9.87465,5.42824
MBD_NandS_geq_2,2,4,0.7,40_50,2,7.81587,3.78572
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,7.81587,3.78572
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,0,0
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,72.7593,131.201
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.778154,0.0614354
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.72473,0.0556066
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.699092,0.0526895
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.644754,0.0481788
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.574663,0.0438498
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,14.2515,6.84871
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,11.1709,4.6833
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,8.8673,3.30383
MBD_NandS_geq_2,2,4,0.7,0_10,2,7.18775,2.41535
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,5.76437,1.77359
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,2.47305,1.39964
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,1.58178,0.790576
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,1.58178,0.790576
MBD_NandS_geq_2,2,4,0.7,10_20,2,1.58178,0.790576
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,1.58178,0.790576
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,5.28517,3.45662
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,5.28517,3.45662
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,3.26863,1.88307
MBD_NandS_geq_2,2,4,0.7,20_30,2,3.26863,1.88307
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,2.12543,1.15198
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,0.0371259,0.464125
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,0.0371259,0.464125
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,0.0371259,0.464125
MBD_NandS_geq_2,2,4,0.7,30_40,2,0.0101831,0.412427
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-0.17247,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,0.579194,0.77764
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,0.579194,0.77764
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,0.579194,0.77764
MBD_NandS_geq_2,2,4,0.7,40_50,2,0.559801,0.697828
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,0.478957,0.600784
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,-0.467398,0
