trigger,cent,pTlo,pThi,slice,windowSigma,sb,err
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.270545,0.00097892
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.270545,0.00097892
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.24954,0.000916987
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.229723,0.000862977
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.211384,0.00081563
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,0.577483,0.00267559
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,0.499728,0.00226099
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,0.499728,0.00226099
MBD_NandS_geq_2,2,4,0.7,10_20,2,0.437583,0.00197709
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,0.398578,0.0018333
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,0.923874,0.00474981
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,0.880555,0.00439575
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,0.791337,0.00391457
MBD_NandS_geq_2,2,4,0.7,20_30,2,0.750317,0.00367625
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,0.680007,0.00334015
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,1.62611,0.0105988
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,1.42594,0.00894208
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,1.35694,0.00820366
MBD_NandS_geq_2,2,4,0.7,30_40,2,1.2092,0.00716695
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,1.14014,0.0066541
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,2.51952,0.0221827
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,2.3834,0.0199157
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,2.11056,0.0168487
MBD_NandS_geq_2,2,4,0.7,40_50,2,1.97585,0.0153319
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,1.7669,0.0133244
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,3.59102,0.04474
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,3.41488,0.0401932
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,3.41488,0.0401932
MBD_NandS_geq_2,2,4,0.7,50_60,2,2.8059,0.0302821
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,2.8059,0.0302821
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,0.443406,0.0010542
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,0.380778,0.000897566
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,0.380778,0.000897566
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,0.329095,0.000788914
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,0.329095,0.000788914
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,2.34005,0.0139055
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,2.34005,0.0139055
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,2.03007,0.0115008
MBD_NandS_geq_2,2,4,0.7,0_10,2,1.77329,0.00968704
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,1.5603,0.00829818
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,3.42107,0.039311
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,3.05063,0.0318029
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,2.7248,0.0265468
MBD_NandS_geq_2,2,4,0.7,10_20,2,2.3756,0.0220994
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,2.3756,0.0220994
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,3.41739,0.0491025
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,3.34364,0.0462578
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,2.93988,0.0384676
MBD_NandS_geq_2,2,4,0.7,20_30,2,2.86042,0.0366436
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,2.54746,0.0312609
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,5.82203,0.124772
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,4.92742,0.0935499
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,4.92742,0.0935499
MBD_NandS_geq_2,2,4,0.7,30_40,2,4.19374,0.0731534
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,4.19374,0.0731534
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,8.08954,0.248154
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,6.90792,0.18673
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,6.90792,0.18673
MBD_NandS_geq_2,2,4,0.7,40_50,2,5.86061,0.144824
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,5.86061,0.144824
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,6.62165,0.242656
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,6.62165,0.242656
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,6.21499,0.214641
MBD_NandS_geq_2,2,4,0.7,50_60,2,5.45745,0.176834
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,5.0804,0.158404
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,2.84774,0.0136064
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,2.47796,0.0111337
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,2.20983,0.00931235
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,2.20983,0.00931235
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,1.94296,0.00789095
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,3.62358,1.01296
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,3.62358,1.01296
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,2.92058,0.724478
MBD_NandS_geq_2,2,4,0.7,0_10,2,2.92058,0.724478
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,2.92058,0.724478
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,5.92576,2.63295
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,5.92576,2.63295
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,4.75224,1.84275
MBD_NandS_geq_2,2,4,0.7,20_30,2,4.75224,1.84275
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,4.75224,1.84275
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,20.6609,21.0147
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,12.5253,9.6017
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,12.5253,9.6017
MBD_NandS_geq_2,2,4,0.7,30_40,2,8.00312,5.02955
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,8.00312,5.02955
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,10.1521,2.25722
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,6.94741,1.26541
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,5.03272,0.791495
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,5.03272,0.791495
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,3.91066,0.549149
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,10.5267,4.97388
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,7.20492,2.86719
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,5.48105,1.90831
MBD_NandS_geq_2,2,4,0.7,10_20,2,4.36691,1.36879
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,3.47803,1.00833
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-0.374028,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-0.374028,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-0.374028,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-0.498681,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,-0.373545,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,0.215083,0.437698
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,0.215083,0.437698
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,0.215083,0.437698
MBD_NandS_geq_2,2,4,0.7,50_60,2,0.250717,0.405328
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,0.00670149,0.318354
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,0.779295,0.92157
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,0.779295,0.92157
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,0.576704,0.70833
MBD_NandS_geq_2,2,4,0.7,0_10,2,0.576704,0.70833
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,0.576704,0.70833
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-0.874765,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-0.874765,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-0.899813,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-0.908924,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-0.916511,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-0.875,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-0.875,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-0.9,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-0.909091,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-0.916667,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,-0.875,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-0.875,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-0.888889,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-0.888889,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-0.9,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,2,-1,0
MBD_NandS_geq_2,2,4,0.7,50_60,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2,-1,0
MBD_NandS_geq_2,2,4,0.7,Inclusive,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2,-1,0
MBD_NandS_geq_2,2,4,0.7,0_10,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2,-1,0
MBD_NandS_geq_2,2,4,0.7,10_20,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2,-1,0
MBD_NandS_geq_2,2,4,0.7,20_30,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2,-1,0
MBD_NandS_geq_2,2,4,0.7,30_40,2.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.25,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.5,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,1.75,-1,0
MBD_NandS_geq_2,2,4,0.7,40_50,2,-1,0
